,job,company,location,salary,description
208,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
209,Data Scientist,        Novetta,"Crystal City, VA",,
210,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
211,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
212,Data Scientist,    xometry,"Durham, NC",,
213,SR. DATA SCIENTIST,    Executive Health,"Woodland Hills, CA",,10+ years as Data Scientist in a delivery oriented environment after advanced degree Experience with Property & Claims Insurance or claims data preferred....
214,Process/ Scientist,    The Veritas Healthcare Solutions LLC.,"Md City, MD",$40 an hour,Perform statistical analysis of research data. Design and conduct formulation studies at various stages of development to provide data to support early phase...
215,Research Data Analyst,        Penn State University,"Hershey, PA",,Job Number: 70361 Work Unit: Penn State College of Medicine Department: Clinical Trials Office Full/Part Time: Part–Time This specialty covers the
216,Visual Data Scientist & Data Analyst,        ASG Renaissance,"Dearborn, MI 48124",,The Visual Data Scientist & Data analyst positions discover and curate new and existing data sources to create solutions for the business....
217,Machine Learning Research Scientist - 2004504,    Software Engineering Institute,"Pittsburgh, PA 15213 (North Oakland area)",,"Engineering efficient data intake, processing, and reporting streams for a variety of intelligence-related data...."
218,"Intern - Network Analysis Team (data analysis, SQL, advanced Excel)",        Urban Science,"Herndon, VA 20171",,"Requires demonstrated knowledge of MS Excel for charting and graphing of data, writing formulas, utilizing functions, and filtering, sorting and formatting of..."
219,Business Consultant - Data Analysis,        MassMutual Financial Group,"Springfield, MA 01119 (Sixteen Acres area)",,Work with the ERM SLT and their teams to assess data needs and create a prioritized list of needs for each area within ERM Build relationships across the...
220,"Data Analyst, Growth",        Square,"San Francisco, CA 94103 (South Of Market area)",,"Modeling the data layer used by Data Scientists, Analysts, Business users. Creating curated data sets for ease of reporting...."
221,Data Analysis and Proposal Writing,        WeCare TLC,"Lake Mary, FL",,"With data and *creatively*. The ideal candidate will understand how to read, modify, and judge financial data in the context of the employer’s business model;..."
222,Machine Learning Scientist,        EBSCO Information Services,"Ipswich, MA",,Machine Learning Scientist. Able to structure and process qualitative or quantitative data and draw insightful conclusions from it....
223,Data Scientist,        Novetta,"Crystal City, VA",,
224,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
225,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
226,Data Scientist,    xometry,"Durham, NC",,
227,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
228,Data Science Manager,    HarperCollins Publishers Inc.,"New York, NY",,Manages a small team of data scientists. Promotes data science across the business globally. Translates business challenges into data science problems and...
229,Machine learning / AI / Restful API web services Engineer at Big 4,    CareerMonks,"Atlanta, GA","$120,000 a year","Familiarity with No SQL databases, bot framework, data streaming and integrating unstructured data will be plus. Data exchange technologies like JSON *...."
230,Research Analyst,        BRTRC,"Vienna, VA",,"BRTRC, a growing government contractor, is seeking a Research Analyst. This position is ideal for recent college graduates, looking for an entry-level, foot"
231,Data Analytics Engineer,    Fractal Industries,"Reston, VA",,Refactor algorithms created by our Data Scientists into production-quality and operational code. Data Analytics – Cyber Team Lead....
232,Junior Scientist / Engineer,        ECS Federal LLC,"Arlington, VA",,"ECS Federal, LLC (ECS) is seeking a Junior Scientist / Engineer to work in our Arlington, VA office. Design theory, geometric modeling, numerical analysis,..."
233,Data Scientist Intern,        HP,"Houston, TX",,"Preferably Java, Python and SQL Experience in data extraction, data cleansing and preparation, text analytics, data mining...."
234,Statistician - Research,    Portland VA Research Foundation,"Portland, OR",,"Extensive experience using SAS or other statistical software to analyze data from large clinical or administrative datasets, such as hospital and patient record..."
235,Jr. Data Scientist,        Happiest Minds Technologies,"San Jose, CA",,> Shoud be able to work with data coming from multiple systems to consolidate and do the research. This person should have atleast 6-8 yrs in the field Should...
236,Data Scientist/Data Engineer,        Novetta,"Springfield, VA",,Novetta is seeking a Data Engineer or Data Scientist interested in creating scalable ETL solutions and solving analytical challenges!...
237,ASST RESEARCH SCIENTIST/ENGIN,        The University of Iowa,"Iowa City, IA 52242","$47,828 a year","Where computer applications are used for accessing, analyzing, and processing biological data. 100% Type of Position Specified Term:...."
238,Data Scientist,        Novetta,"Crystal City, VA",,
239,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
240,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
241,Data Scientist,    xometry,"Durham, NC",,
242,"Senior Scientist, Analytical Chemistry",        AbbVie,"Lake County, IL",,"Experience in the use of computerized data handling systems. Support new product development with advanced methods development and validations, technical..."
243,Sr. Data Scientist,        Vungle,"San Francisco, CA",,Data Science at Vungle:. Researching and developing new/future data product. If you’re a hardcore Data Scientist with a love for Machine Learning and the...
244,Data Engineer/Scientist,    Employment Trust,"Bellevue, WA","$100,000 - $135,000 a year","You understand the challenges of working with schema-based and unstructured data, and enjoy the challenge of collecting data flexibly and accurately...."
245,Watson Health - Data Miner - Truven,        IBM,United States,,"However, their work includes the entire process of data analysis, including the data cleansing, data preparation and visualization of results...."
246,Automated Driving Research Scientist – Machine Learning,        Ford Motor Company,"Palo Alto, CA",,Automated Driving Research Scientist – Machine Learning. Automated Driving Research Scientist – Machine Learning position offered by Ford Motor Company (Palo...
247,Quantitative Analyst Intern,        Nationstar Mortgage,"Coppell, TX 75019",,Will gain highly sought after SAS data manipulation and modeling skills. Opportunity to learn the mortgage business and experience working with large data...
248,Senior Data Scientist,    Verve,"San Diego, CA",,"Data Scientist to add to our growing team. Fluent in statistical analysis, data mining, and machine learning. Ability to draw conclusions from data, communicate..."
249,Data Scientist/Analyst,        Autodesk,"Boston, MA 02111 (Central area)",,We are seeking an exceptional data scientist to synthesize and leverage our massive dataset of customer data to provide us with timely and integrated views of...
250,Statistician,        Intel,"Hillsboro, OR 97124",,"Ability to work effectively with others, provide team leadership in data analysis and interpretation. Activities include consulting with managers, engineers,..."
251,Machine Learning Engineer,    Flock: Accelerating Women In Tech,"Boston, MA",,"The team is made up of 12 physicists and data scientists. Join a team redesigning how machines can learn, making it easier to apply machine learning to medium..."
252,Software Engineer (Data and Analytics),        The Advisory Board Company,"Richmond, VA",,
253,Machine Learning Engineer,        eBay Inc.,"San Jose, CA",,
254,Data Scientist,        Novetta,"Crystal City, VA",,
255,Data Scientist,"    Syntelli Solutions, Inc","Charlotte, NC 28277",,
256,Data Scientist,    xometry,"Durham, NC",,
257,Data Engineer,        Dailymotion,"New York, NY",,Work closely with data scientists to construct creative solutions for their analysis tasks Qualifications....
